RESPONDENT_ID,ad_id,brand,page_num,page_pos,brand_fix,pic_fix,brand_size,pic_size,recall_accu,RECALL_TIME
34,25,Cartoon,94,0,3,1,9.38525,75.57335,0,5
34,26,VanderBilt,96,0,1,1,16.2781,71.25505,1,1.96
34,27,Viva,98,0,0,0,3.0659,24.0219,1,4.24
34,28,Arden,99,1,3,2,9.3124,77.62865,1,3.16
34,29,Gauloises,107,1,2,3,5.9644,77.6674,1,2.32
34,30,Appelsientje,108,0,2,9,2.0987,75.08665,1,3.32
34,31,Conimex,113,1,0,2,4.5787,55.6357,0,4.12
34,32,Corona,114,0,0,4,1.81505,84.42385,1,1.32
34,33,Daihatsu,123,1,2,1,2.9915,65.11395,1,3.56
34,34,DelMonte,125,1,0,0,7.36715,77.63175,0,1.28
34,35,Lancome,127,1,0,1,16.98025,60.2206,1,3.36
35,1,Armani,2,0,0,0,17.06395,74.19695,0,2.2
35,2,LOreal,5,1,0,1,4.38185,52.58685,0,2.32
35,3,Astnor,6,0,0,0,6.85565,77.6116,0,3.28
35,4,MarieJo,11,1,0,0,2.914,71.3558,0,4.84
35,5,SiSi,13,1,2,1,4.09045,52.40085,0,3.64
35,6,ClearBlue,14,0,1,3,2.2537,77.60385,0,0.2
35,7,Lancaster,17,1,4,8,2.37925,88.0896,0,3.8
35,8,Barclay,18,0,0,1,4.9166,72.6268,0,1.36
35,9,Dior,21,1,4,5,17.236,64.2072,0,2.32
35,10,Citroen,22,0,0,3,1.9902,71.15895,0,2.44
35,11,Nivea,25,1,1,8,4.54925,61.79385,1,1.36
35,12,Davidoff,26,0,0,0,1.8321,78.3742,0,4.32
35,13,Dali,29,1,1,4,6.6774,68.4728,0,2.32
35,14,Kapper,31,1,0,3,3.63475,69.7221,0,4.04
35,15,Alfa,32,0,0,1,2.72335,61.6156,1,4.8
35,16,Legere,35,1,8,1,14.3065,53.30915,1,3.12
35,17,Spa,40,0,2,3,11.3088,77.6488,1,2.8
35,18,Stuyvesant,43,1,0,2,4.82205,51.2554,1,1.4
35,19,Margriet,48,0,0,4,1.8817,76.23675,0,2.32
35,20,Chantelle,55,1,6,4,25.1658,80.1195,1,4.04
35,21,Kodak,69,1,5,5,4.27645,64.76365,0,1.4
35,22,Gilette,71,1,0,9,1.9592,75.83065,1,4.2
35,23,Silan,75,1,3,4,9.19925,64.90315,0,1.76
35,24,Fancy,76,0,0,0,4.57715,32.82435,0,2.32
35,25,Cartoon,94,0,4,8,9.38525,75.57335,0,4.96
35,26,VanderBilt,96,0,4,13,16.2781,71.25505,1,3.68
35,27,Viva,98,0,3,1,3.0659,24.0219,0,2.32
35,28,Arden,99,1,2,4,9.3124,77.62865,0,4.24
35,29,Gauloises,107,1,6,3,5.9644,77.6674,1,2.76
35,30,Appelsientje,108,0,0,9,2.0987,75.08665,1,3.88
35,31,Conimex,113,1,1,3,4.5787,55.6357,1,1.36
35,32,Corona,114,0,4,2,1.81505,84.42385,0,3.2
35,33,Daihatsu,123,1,3,6,2.9915,65.11395,1,3.04
35,34,DelMonte,125,1,3,4,7.36715,77.63175,1,2.4
35,35,Lancome,127,1,2,4,16.98025,60.2206,0,4.76
36,1,Armani,2,0,7,9,17.06395,74.19695,0,3.08
36,2,LOreal,5,1,2,11,4.38185,52.58685,0,2.16
36,3,Astnor,6,0,5,6,6.85565,77.6116,0,2.96
36,4,MarieJo,11,1,2,8,2.914,71.3558,0,3.24
36,5,SiSi,13,1,1,6,4.09045,52.40085,0,2.32
36,6,ClearBlue,14,0,3,7,2.2537,77.60385,1,2.48
36,7,Lancaster,17,1,4,12,2.37925,88.0896,0,4.4
36,8,Barclay,18,0,0,11,4.9166,72.6268,0,2.32
36,9,Dior,21,1,4,11,17.236,64.2072,0,3.68
36,10,Citroen,22,0,1,13,1.9902,71.15895,1,2.92
36,11,Nivea,25,1,4,9,4.54925,61.79385,1,2.56
36,12,Davidoff,26,0,2,11,1.8321,78.3742,0,2.96
36,13,Dali,29,1,8,3,6.6774,68.4728,1,2.68
36,14,Kapper,31,1,3,3,3.63475,69.7221,0,2.76
36,15,Alfa,32,0,0,6,2.72335,61.6156,1,1.8
36,16,Legere,35,1,4,4,14.3065,53.30915,0,4.2
36,17,Spa,40,0,1,11,11.3088,77.6488,1,4.04
36,18,Stuyvesant,43,1,2,4,4.82205,51.2554,1,2.4
36,19,Margriet,48,0,2,12,1.8817,76.23675,0,3.2
36,20,Chantelle,55,1,10,6,25.1658,80.1195,1,2
36,21,Kodak,69,1,1,8,4.27645,64.76365,1,2.48
36,22,Gilette,71,1,2,9,1.9592,75.83065,0,4.08
36,23,Silan,75,1,7,5,9.19925,64.90315,1,3.32
36,24,Fancy,76,0,2,5,4.57715,32.82435,1,3.56
36,25,Cartoon,94,0,2,6,9.38525,75.57335,0,2.76
36,26,VanderBilt,96,0,2,9,16.2781,71.25505,1,3.16
36,27,Viva,98,0,1,0,3.0659,24.0219,1,2.8
36,28,Arden,99,1,4,7,9.3124,77.62865,0,3.72
36,29,Gauloises,107,1,1,4,5.9644,77.6674,0,3.56
36,30,Appelsientje,108,0,1,13,2.0987,75.08665,1,1.96
36,31,Conimex,113,1,1,13,4.5787,55.6357,0,2.32
36,32,Corona,114,0,0,3,1.81505,84.42385,0,2.88
36,33,Daihatsu,123,1,1,9,2.9915,65.11395,1,3.48
36,34,DelMonte,125,1,3,7,7.36715,77.63175,1,2.2
36,35,Lancome,127,1,2,7,16.98025,60.2206,0,2.32
37,1,Armani,2,0,0,0,17.06395,74.19695,1,2
37,2,LOreal,5,1,0,1,4.38185,52.58685,0,2.24
37,3,Astnor,6,0,1,4,6.85565,77.6116,0,1.68
37,4,MarieJo,11,1,0,0,2.914,71.3558,0,3.08
37,5,SiSi,13,1,0,1,4.09045,52.40085,1,1.76
37,6,ClearBlue,14,0,0,1,2.2537,77.60385,0,1.84
37,7,Lancaster,17,1,1,1,2.37925,88.0896,0,1.68
37,8,Barclay,18,0,0,2,4.9166,72.6268,0,1.64
37,9,Dior,21,1,2,7,17.236,64.2072,1,1.6
37,10,Citroen,22,0,0,9,1.9902,71.15895,1,1.36
37,11,Nivea,25,1,3,9,4.54925,61.79385,1,1.04
37,12,Davidoff,26,0,2,6,1.8321,78.3742,1,1.48
37,13,Dali,29,1,4,7,6.6774,68.4728,1,1.76
37,14,Kapper,31,1,0,4,3.63475,69.7221,0,1.4
37,15,Alfa,32,0,1,3,2.72335,61.6156,1,1.56
37,16,Legere,35,1,14,2,14.3065,53.30915,1,2.04
37,17,Spa,40,0,0,1,11.3088,77.6488,1,2
37,18,Stuyvesant,43,1,0,2,4.82205,51.2554,1,1.12
37,19,Margriet,48,0,0,5,1.8817,76.23675,1,1.32
37,20,Chantelle,55,1,5,8,25.1658,80.1195,1,1
37,21,Kodak,69,1,0,2,4.27645,64.76365,1,1.56
37,22,Gilette,71,1,0,5,1.9592,75.83065,1,2
37,23,Silan,75,1,2,2,9.19925,64.90315,1,1.84
37,24,Fancy,76,0,0,3,4.57715,32.82435,0,1.8
37,25,Cartoon,94,0,1,2,9.38525,75.57335,0,2
37,26,VanderBilt,96,0,1,1,16.2781,71.25505,1,1.6
37,27,Viva,98,0,2,1,3.0659,24.0219,1,1.36
37,28,Arden,99,1,1,3,9.3124,77.62865,1,2.6
37,29,Gauloises,107,1,3,9,5.9644,77.6674,1,1.64
37,30,Appelsientje,108,0,0,9,2.0987,75.08665,1,1.6
37,31,Conimex,113,1,0,5,4.5787,55.6357,1,1.08
37,32,Corona,114,0,1,12,1.81505,84.42385,0,2.24
37,33,Daihatsu,123,1,1,7,2.9915,65.11395,1,1.24
37,34,DelMonte,125,1,0,2,7.36715,77.63175,1,1.84
